,formula,T,target,ei,predicted_property,std,wt_pct
1562764,Nb83.0Zr1.2Ta4.1W11.7,24,0,8.032096030177083,1299.3740299564706,182.56497316553506,Nb72Zr1Ta7W20
1562782,Nb83.7Zr1.2Ta4.7W10.4,24,0,8.030397854690378,1288.9764964252574,188.36384652547903,Nb73Zr1Ta8W18
1661687,Nb85.5Ta4.7W8.1Re1.7,24,0,8.029432338343149,1305.3892290406236,179.17009142014857,Nb75Ta8W14Re3
1651366,Nb87.5Hf1.2W10.2Re1.1,24,0,8.024419828933848,1307.025861780136,178.21885921445093,Nb78Hf2W18Re2
1194781,Nb83.6V2.1Ta4.6W9.7,24,0,8.011082984493147,1308.8579828002592,177.10771850345716,Nb74V1Ta8W17
1635544,Nb82.8Hf1.8Ta3.6W11.8,24,0,7.9383523347140965,1299.8553523444464,181.7354674997414,Nb71Hf3Ta6W20
1635524,Nb83.5Hf1.8Ta3.0W11.7,24,0,7.936929842021243,1299.8397451381604,181.73568846699266,Nb72Hf3Ta5W20
1635164,Nb82.8Hf1.2Ta4.2W11.8,24,0,7.932771001687968,1299.8783518806142,181.68918164118193,Nb71Hf2Ta7W20
1635564,Nb82.1Hf1.8Ta4.2W11.9,24,0,7.932771001687968,1299.8783518806142,181.68918164118193,Nb70Hf3Ta7W20
1635184,Nb82.1Hf1.2Ta4.8W11.9,24,0,7.932771001687968,1299.8783518806142,181.68918164118193,Nb70Hf2Ta8W20
1635144,Nb83.5Hf1.2Ta3.6W11.7,24,0,7.932771001687968,1299.8783518806142,181.68918164118193,Nb72Hf2Ta6W20
1635204,Nb81.4Hf1.2Ta5.5W11.9,24,0,7.932156600249563,1299.872007824197,181.68905366290497,Nb69Hf2Ta9W20
1562824,Nb80.9Zr1.2Ta6.0W11.9,24,0,7.932156600249563,1299.872007824197,181.68905366290497,Nb69Zr1Ta10W20
1635124,Nb84.2Hf1.2Ta3.0W11.7,24,0,7.92665039580433,1299.9054682126707,181.63735416214467,Nb73Hf2Ta5W20
1662867,Nb84.2Ta6.5W7.6Re1.7,24,0,7.916469957474391,1298.0653479465016,182.6053157516684,Nb73Ta11W13Re3
1662525,Nb84.2Ta5.9W9.3Re0.6,24,0,7.896600806897894,1297.2431332141189,182.94493260033417,Nb73Ta10W16Re1
1634764,Nb83.5Hf0.6Ta4.2W11.7,24,0,7.873270783331396,1298.8378789243748,181.91376550229194,Nb72Hf1Ta7W20
1194801,Nb82.9V2.1Ta5.2W9.8,24,0,7.84835780731936,1309.812549601567,175.613140884452,Nb73V1Ta9W17
1562844,Nb80.2Zr1.2Ta6.7W11.9,24,0,7.730484007603042,1296.767071197535,182.2032527648487,Nb68Zr1Ta11W20
1635224,Nb80.7Hf1.2Ta6.1W12.0,24,0,7.7286027474002665,1298.436763356525,181.26258686095537,Nb68Hf2Ta10W20
1194880,Nb80.8V2.1Ta7.7W9.3,24,0,7.719429872762994,1307.9149767176723,175.91328933645917,Nb70V1Ta13W16
1634744,Nb84.2Hf0.6Ta3.6W11.7,24,0,7.706341681574685,1299.921086985366,180.30072143650054,Nb73Hf1Ta6W20
1634724,Nb84.9Hf0.6Ta2.9W11.6,24,0,7.704910417263573,1299.90547977908,180.3007329148848,Nb74Hf1Ta5W20
1635523,Nb84.2Hf1.8Ta3.0W11.1,24,0,7.642816093049227,1295.9322786315297,182.13093736901425,Nb73Hf3Ta5W19
1562884,Nb78.8Zr1.2Ta8.0W12.1,24,0,7.627111801876222,1297.3141166600208,181.26764442885462,Nb66Zr1Ta13W20
1562864,Nb79.5Zr1.2Ta7.3W12.0,24,0,7.627111801876222,1297.3141166600208,181.26764442885462,Nb67Zr1Ta12W20
1659765,Nb87.5Ta1.7W10.2Re0.6,24,0,7.6079748403035445,1300.3429407508509,179.467648310466,Nb78Ta3W18Re1
1194978,Nb78.7V2.1Ta10.9W8.3,24,0,7.6045557152422205,1295.914539605944,181.90573437975445,Nb67V1Ta18W14
970762,Nb83.5Ti2.2Ta4.1W10.3,24,0,7.581688165161793,1305.9767496962286,176.1699224606918,Nb74Ti1Ta7W18
1652186,Nb85.5Hf2.4W11.0Re1.1,24,0,7.509985069112773,1301.8597665311345,178.02615638872467,Nb75Hf4W19Re2
1660926,Nb86.2Ta3.5W9.2Re1.1,24,0,7.500246332418328,1303.3265842451262,177.1514738580933,Nb76Ta6W16Re2
1635264,Nb79.2Hf1.2Ta7.4W12.1,24,0,7.470533754132951,1296.7727438146385,180.6034313775989,Nb66Hf2Ta12W20
1635244,Nb80.0Hf1.2Ta6.7W12.1,24,0,7.470533754132951,1296.7727438146385,180.6034313775989,Nb67Hf2Ta11W20
1653407,Nb82.1Hf4.3W11.9Re1.8,24,0,7.447467319902767,1304.5425078157052,176.15334664478016,Nb70Hf7W20Re3
1194958,Nb79.4V2.1Ta10.2W8.3,24,0,7.403797014897844,1295.5731903458448,180.85177478178207,Nb68V1Ta17W14
1194899,Nb80.8V2.1Ta8.3W8.8,24,0,7.4031279847445255,1297.5100845579263,179.77783501220418,Nb70V1Ta14W15
1652547,Nb85.5Hf3.0W9.8Re1.7,24,0,7.38699194727446,1301.6896398568442,177.3653228784105,Nb75Hf5W17Re3
1652147,Nb86.2Hf2.4W9.7Re1.7,24,0,7.382925212316085,1301.7291400050801,177.31836730503775,Nb76Hf4W17Re3
