formula,T,UTS,formula_1,T_1,YS,add,sqrt
Nb92.0W5.3Zr2.7,1649,68.95,Nb92.0W5.3Zr2.7,1649,65.5,134.45,95.10180072
Nb85.5Mo5.2W8.2Zr1.1,24,834.3,Nb85.5Mo5.2W8.2Zr1.1,24,689.5,1523.8,1082.343171
Nb85.5Mo5.2W8.2Zr1.1,538,545.39,Nb85.5Mo5.2W8.2Zr1.1,538,522.64,1068.03,755.3825665
Nb85.5Mo5.2W8.2Zr1.1,871,541.26,Nb85.5Mo5.2W8.2Zr1.1,871,499.89,1041.15,736.7851788
Nb85.5Mo5.2W8.2Zr1.1,1093,450.24,Nb85.5Mo5.2W8.2Zr1.1,1093,406.81,857.05,606.8034556
Nb85.5Mo5.2W8.2Zr1.1,1204,366.12,Nb85.5Mo5.2W8.2Zr1.1,1204,313.72,679.84,482.1453026
Nb85.5Mo5.2W8.2Zr1.1,1288,311.65,Nb85.5Mo5.2W8.2Zr1.1,1288,268.91,580.56,411.6288505
Nb85.5Mo5.2W8.2Zr1.1,1371,222.71,Nb85.5Mo5.2W8.2Zr1.1,1371,192.37,415.08,294.2889074
Nb85.5Mo5.2W8.2Zr1.1,1482,171,Nb85.5Mo5.2W8.2Zr1.1,1482,157.21,328.21,232.2842743
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,30,849.66,Nb76.2Mo5.0Ti10.0W7.8Zr1.0,30,558.01,1407.67,1016.51231
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,649,650.7,Nb76.2Mo5.0Ti10.0W7.8Zr1.0,649,459.71,1110.41,796.7080859
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,1093,353.11,Nb76.2Mo5.0Ti10.0W7.8Zr1.0,1093,234.67,587.78,423.9772175
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,1205,252.04,Nb76.2Mo5.0Ti10.0W7.8Zr1.0,1205,185.44,437.48,312.9091804
Nb85.6V8.8Mo4.7Zr1.0,24,768.1,Nb85.6V8.8Mo4.7Zr1.0,24,604,1372.1,977.1354103
Nb85.6V8.8Mo4.7Zr1.0,982,482.65,Nb85.6V8.8Mo4.7Zr1.0,982,450.93,933.58,660.5216782
Nb85.6V8.8Mo4.7Zr1.0,1093,368.19,Nb85.6V8.8Mo4.7Zr1.0,1093,315.79,683.98,485.0641197
Nb85.6V8.8Mo4.7Zr1.0,1204,287.8,Nb85.6V8.8Mo4.7Zr1.0,1204,260.63,548.43,388.2741775
Nb85.6V8.8Mo4.7Zr1.0,1316,247.53,Nb85.6V8.8Mo4.7Zr1.0,1316,239.95,487.48,344.7420824
