formula,Nb,Zr,V,Ta,W,Ti,Mo,C,Hf,T,target
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,24,601.24
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,399,429.56
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,538,383.36
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,1093,242.01
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,1316,178.58
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,1482,117.22
Nb92.0W5.3Zr2.7,92,2.7,0,0,5.3,0,0,0,0,1649,68.95
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,24,834.3
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,538,545.39
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,871,541.26
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1093,450.24
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1204,366.12
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1288,311.65
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1371,222.71
Nb85.5Mo5.2W8.2Zr1.1,85.5,1.1,0,0,8.2,0,5.2,0,0,1482,171
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,76.2,1,0,0,7.8,10,5,0,0,30,849.66
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,76.2,1,0,0,7.8,10,5,0,0,649,650.7
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,76.2,1,0,0,7.8,10,5,0,0,1093,353.11
Nb76.2Mo5.0Ti10.0W7.8Zr1.0,76.2,1,0,0,7.8,10,5,0,0,1205,252.04
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,24,768.1
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,982,482.65
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1093,368.19
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1204,287.8
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1316,247.53
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1427,178.58
Nb85.6V8.8Mo4.7Zr1.0,85.6,1,8.8,0,0,0,4.7,0,0,1538,133.07
Nb92.0Hf5.4Ti2.0Zr0.5,92,0.5,0,0,0,2,0,0,5.4,24,405.43
Nb92.0Hf5.4Ti2.0Zr0.5,92,0.5,0,0,0,2,0,0,5.4,1093,188.23
Nb92.0Hf5.4Ti2.0Zr0.5,92,0.5,0,0,0,2,0,0,5.4,1371,82.74
Nb92.0Hf5.4Ti2.0Zr0.5,92,0.5,0,0,0,2,0,0,5.4,1482,65.5
Nb92.0Hf5.4Ti2.0Zr0.5,92,0.5,0,0,0,2,0,0,5.4,1649,34.48
Nb88.6Hf5.8W5.6,88.6,0,0,0,5.6,0,0,0,5.8,24,584.01
Nb88.6Hf5.8W5.6,88.6,0,0,0,5.6,0,0,0,5.8,316,406.81
Nb88.6Hf5.8W5.6,88.6,0,0,0,5.6,0,0,0,5.8,649,407.49
Nb88.6Hf5.8W5.6,88.6,0,0,0,5.6,0,0,0,5.8,1093,270.28
Nb88.6Hf5.8W5.6,88.6,0,0,0,5.6,0,0,0,5.8,1371,150.31
Nb88.6Hf5.8W5.6,88.6,0,0,0,5.6,0,0,0,5.8,1482,126.18
Nb88.6Hf5.8W5.6,88.6,0,0,0,5.6,0,0,0,5.8,1649,84.81
Nb87.7W11.2Zr1.1,87.7,1.1,0,0,11.2,0,0,0,0,24,1182.49
Nb87.7W11.2Zr1.1,87.7,1.1,0,0,11.2,0,0,0,0,871,698.46
Nb87.7W11.2Zr1.1,87.7,1.1,0,0,11.2,0,0,0,0,1093,586.08
Nb87.7W11.2Zr1.1,87.7,1.1,0,0,11.2,0,0,0,0,1204,495.75
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,204,682.61
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,316,603.31
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,427,558.5
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,538,586.08
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,649,558.5
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,760,558.5
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,871,496.44
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,982,368.88
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,1093,337.86
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,1260,172.38
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,1427,147.55
