formula,Nb,Zr,V,Ta,W,Ti,Mo,C,Hf,T,target
Nb92.0Hf5.4Ti2.0Zr0.5,92,0.5,0,0,0,2,0,0,5.4,1649,28.96
Nb88.6Hf5.8W5.6,88.6,0,0,0,5.6,0,0,0,5.8,24,487.48
Nb88.6Hf5.8W5.6,88.6,0,0,0,5.6,0,0,0,5.8,316,313.03
Nb88.6Hf5.8W5.6,88.6,0,0,0,5.6,0,0,0,5.8,649,248.91
Nb88.6Hf5.8W5.6,88.6,0,0,0,5.6,0,0,0,5.8,1093,200.64
Nb88.6Hf5.8W5.6,88.6,0,0,0,5.6,0,0,0,5.8,1371,138.59
Nb88.6Hf5.8W5.6,88.6,0,0,0,5.6,0,0,0,5.8,1482,120.66
Nb88.6Hf5.8W5.6,88.6,0,0,0,5.6,0,0,0,5.8,1649,79.98
Nb87.7W11.2Zr1.1,87.7,1.1,0,0,11.2,0,0,0,0,24,985.99
Nb87.7W11.2Zr1.1,87.7,1.1,0,0,11.2,0,0,0,0,871,635.72
Nb87.7W11.2Zr1.1,87.7,1.1,0,0,11.2,0,0,0,0,1093,559.18
Nb87.7W11.2Zr1.1,87.7,1.1,0,0,11.2,0,0,0,0,1204,462.65
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,204,655.03
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,316,537.81
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,427,475.76
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,538,448.18
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,649,424.04
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,760,424.04
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,871,393.02
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,982,330.96
Nb64.4W10.2Ti19.5Mo5.8,64.4,0,0,0,10.2,19.5,5.8,0,0,1093,313.72
