,formula,mean,std,ei
1468,Nb85.7Zr1.1Ta2.3W10.3Re0.6,912.5304757250336,129.03339515015347,0.8526751700829784
1467,Nb85.1Zr1.2Ta2.9W10.3Re0.6,912.5304757250336,129.03339515015347,0.8526751700829784
1469,Nb85.1Zr1.2Ta3.5W9.2Re1.1,912.0824815142722,129.16596030114147,0.8504492398075314
1489,Nb85.5Hf1.2Ta2.9W8.6Re1.7,912.0747517689946,129.15723086180793,0.8499199002983566
1470,Nb87.0Zr1.1Ta1.1W9.6Re1.1,908.9577719474948,130.28246638468818,0.8436183995118673
1449,Nb82.6Zr1.2Mo1.1Ta4.7W10.4,909.6876888355912,129.76526662295873,0.8339249633789292
1490,Nb86.2Hf1.2Ta1.7W10.3Re0.6,912.527256974368,128.59635782566096,0.8332247095230061
1491,Nb85.5Hf0.6Ta3.5W9.2Re1.1,912.4494218103976,128.62224280946245,0.8329721986992284
1450,Nb80.7Zr2.3Mo1.1Ta5.3W10.5,909.833661622126,129.67035071195386,0.8323639415505459
1451,Nb81.4Zr2.3Mo1.1Ta4.7W10.4,909.8425354337628,129.6617647334269,0.8321459510543558
1452,Nb82.1Zr2.3Mo1.1Ta4.1W10.4,909.8425354337628,129.6617647334269,0.8321459510543558
1492,Nb86.2Hf1.2Ta1.7W9.7Re1.1,912.459720283541,128.59250764691805,0.8318477794143062
1471,Nb83.0Zr1.2Ta5.9W9.3Re0.6,908.5835694573158,130.04967808159964,0.826805223929127
1472,Nb84.4Zr1.2Ta4.1W9.2Re1.1,911.987743003115,128.6663728740604,0.8266817374051625
1493,Nb84.9Hf1.2Ta3.5W9.3Re1.1,911.987743003115,128.6663728740604,0.8266817374051625
1473,Nb86.4Zr1.1Ta1.7W9.6Re1.1,912.9191356071668,128.21059841462397,0.823276854213506
1494,Nb86.9Hf0.6Ta1.7W10.3Re0.6,913.4582476791348,127.94885234533795,0.8213965299105537
1495,Nb85.5Hf1.8Ta1.8W10.4Re0.6,912.2399927271056,128.40860693783534,0.819895706457463
1496,Nb85.5Hf1.8Ta1.8W9.8Re1.1,912.1456226824798,128.43975213720654,0.8195857866786342
1454,Nb84.4Zr1.2Hf0.6Ta2.3W11.5,910.3107157723002,129.17405573274667,0.8191801887694359
1453,Nb82.8Zr2.3Mo1.1Ta2.9W10.9,910.3107157723002,129.17405573274667,0.8191801887694359
1474,Nb83.0Zr1.2Ta5.3W9.9Re0.6,910.3212838626988,129.15790480115493,0.8186660051042827
1497,Nb86.9Hf0.6Ta2.3W8.6Re1.7,907.5280495376894,130.27867340302154,0.8182321813907993
1475,Nb83.2Zr2.3Ta3.5W10.4Re0.6,910.848225568208,128.80556866233633,0.8126588783330524
1476,Nb83.9Zr2.3Ta2.9W10.3Re0.6,910.8676674702432,128.7797930352666,0.8118863529826568
1498,Nb84.8Hf2.4Ta1.8W10.4Re0.6,910.1105335663008,129.0015338945853,0.808244910587721
1477,Nb83.2Zr2.3Ta3.5W9.8Re1.1,910.9656964819752,128.61337276715585,0.8064304660268693
1478,Nb82.3Zr1.2Ta6.5W9.4Re0.6,907.7006948067332,129.90650140660915,0.8052917264368142
1479,Nb83.7Zr1.2Ta4.7W9.3Re1.1,911.1046566835568,128.5251392258719,0.8050553419572948
1499,Nb83.5Hf1.8Ta4.2W9.4Re1.2,911.0880531266424,128.52514658133342,0.8047674686415283
1455,Nb83.7Zr1.2Hf1.2Ta2.4W11.6,907.9308264893988,129.57891202322844,0.7953354950896712
